,cluster_broad,date_publish,outlet,headline
437,3,2019-08-28 15:21:03,Los Angeles Times,Ex-Defense Secretary James Mattis warns U.S. at 'breaking point'
438,9,2019-08-28 15:24:43,Reuters,U.S. Agriculture secretary pledges Trump will announce way to boost biofuel demand
439,11,2019-08-28 15:24:47,The Guardian,Russia denies ordering assassination of Chechen exile in Berlin
440,9,2019-08-28 15:25:18,The Guardian,‘Worst of wildfires still to come’ despite Brazil claiming crisis is under control
441,4,2019-08-28 15:26:31,Reuters,U.S. says won't release Mideast peace plan before Israeli election
442,3,2019-08-28 15:30:14,Politico,Biden pledges 'absolute wall' to separate relatives' business dealings
443,4,2019-08-28 15:33:02,Fox News,Joint Chiefs of Staff chair on Afghanistan: 'Not using the 'withdraw' word right now'
444,2,2019-08-28 15:35:53,The Guardian,Trump offers to pardon aides for laws broken in rush to build border wall - report
445,8,2019-08-28 15:39:18,HuffPost,"D.C. Official Files For Divorce, Alleges Her Husband Had Affair With Ilhan Omar"
446,3,2019-08-28 15:40:42,Fox News,Sanders praises China's 'progress' against 'extreme poverty': 'Done a lot of things for their people'
447,2,2019-08-28 15:42:58,National Review,United Auto Workers President Gary Jones's Home Raided by Feds
448,10,2019-08-28 15:46:52,Breitbart,Republican Sen. Johnny Isakson to Resign amid Health Problems
449,7,2019-08-28 15:46:52,Yahoo! News,Hurricane Dorian spares Puerto Rico and heads for Florida's eastern coast
451,4,2019-08-28 15:48:00,Reuters,U.S. will not release Mideast peace plan before Israeli election
452,1,2019-08-28 15:48:39,Reuters,Apple to stop default practice of keeping Siri recordings
453,3,2019-08-28 15:50:17,Yahoo! News,James Mattis: Former defence secretary reveals fraught relationship with Trump
454,7,2019-08-28 15:51:39,Breitbart,Donald Trump Calls Puerto Rico 'One of Most Corrupt Places on Earth'
455,3,2019-08-28 15:54:01,The Washington Post,Mattis’s unambiguous warning on Trump: 'A polemicist’s role is not sufficient for a leader’
456,5,2019-08-28 15:54:32,Reuters,Deutsche Bank still sees 50:50 chance of no-deal Brexit
457,10,2019-08-28 15:57:16,Reuters,Republican Senator Isakson resigning at end of 2019
458,10,2019-08-28 15:58:55,CBS News,Georgia Senator Johnny Isakson will step down at the end of 2019
459,0,2019-08-28 15:59:05,Fox News,"NYPD union calls for de Blasio’s removal, commissioner’s resignation in wake of Garner officer's firing"
460,4,2019-08-28 16:00:13,The Washington Post,Here’s how Saudi Arabia and the UAE are affecting Yemen’s war
462,1,2019-08-28 16:03:16,The Washington Post,"Apple apologizes, changes how humans review Siri audio"
463,10,2019-08-28 16:04:30,USA Today,"Citing health, Georgia GOP Sen. Isakson says he'll retire"
465,2,2019-08-28 16:06:19,The Washington Post,Russia: US senators claiming visa ban are on blacklist
466,4,2019-08-28 16:07:34,The Guardian,"US won't release peace plan before Israel's elections, says envoy"
467,8,2019-08-28 16:12:07,Reuters,Hamas says Gaza blasts that killed three policemen were suicide bombings
468,3,2019-08-28 16:14:33,Breitbart,Stacey Abrams Won't Run for GOP Sen. Johnny Isakson's Seat
469,4,2019-08-28 16:18:42,The Washington Post,Russia and Turkey mull fighter jet cooperation in further challenge to U.S. and NATO allies
470,2,2019-08-28 16:19:15,Reuters,FBI conducting searches at UAW retreat and other locations
471,10,2019-08-28 16:20:46,Slate,Georgia Sen. Johnny Isakson resigning at end of year.
472,5,2019-08-28 16:21:17,The Washington Post,How Boris Johnson Can or Can’t Evade Parliament on Brexit
473,2,2019-08-28 16:21:38,Fox News,House committee launches investigation of plan to hold next G-7 summit at Trump's Doral resort
474,9,2019-08-28 16:26:14,Reuters,U.S. agriculture secretary pledges Trump will announce way to boost biofuel demand
475,8,2019-08-28 16:27:46,Reuters,At least 25 killed in 'horrendous' arson attack on bar in Mexico
476,5,2019-08-28 16:38:47,BBC,EU leaders look on in silence as Johnson makes Parliament move
477,6,2019-08-28 16:39:08,The Washington Post,New York law softening pot penalties goes into effect
478,8,2019-08-28 16:41:59,Yahoo! News,Married couple suspected of murder escape after overpowering guards while being extradited
479,5,2019-08-28 16:42:04,Reuters,UK Conservatives' Scotland leader set to quit: Sun
480,10,2019-08-28 16:45:07,Slate,The White House Responds to Taylor Swift’s Criticism at the VMAs
481,4,2019-08-28 16:45:08,CBS News,"White House won't release Mideast peace plan before Israeli elections, envoy says"
482,2,2019-08-28 16:47:19,The Washington Post,FBI searches Detroit-area home of UAW president
483,8,2019-08-28 16:48:04,Breitbart,Alabama GOP Adopts Resolution to Expel Rep. Ilhan Omar from Congress
484,5,2019-08-28 16:49:31,The Guardian,Ruth Davidson expected to quit as Scottish Tory leader
485,2,2019-08-28 16:50:03,Reuters,"More people, less water? Scientists see risks on upper Nile"
486,7,2019-08-28 16:52:16,The Washington Post,"As another storm approaches Puerto Rico, President Trump is still taking jabs at his opponents there"
487,11,2019-08-28 16:54:12,Reuters,Italy opposition says it is ready for cabinet deal with 5-Star
488,2,2019-08-28 16:54:27,Reuters,"More people, less water? Scientists see risks on upper Nile"
489,10,2019-08-28 16:56:33,CBS News,"""You need to calm down"": Kellyanne Conway responds to Taylor Swift with the singer's own lyrics"
490,4,2019-08-28 16:57:34,National Review,Joseph Dunford & Afghanistan -- General Says It's Too Early for Pullout as Taliban Signals Agreement Is Near
491,7,2019-08-28 16:57:55,Reuters,Trump slams 'corrupt' Puerto Rico as Storm Dorian heads for island
492,2,2019-08-28 16:58:48,Reuters,FBI searches home of UAW president as corruption probe widens
493,2,2019-08-28 17:02:11,Breitbart,"FBI, IRS Raid Home of UAW President Gary Jones"
494,2,2019-08-28 17:02:32,Yahoo! News,Ethiopian fossil reveals face for ancestor of famed 'Lucy'
495,0,2019-08-28 17:03:16,The Washington Post,Condemned inmate to learn whether sentence will be reduced
496,2,2019-08-28 17:03:48,The Washington Post,Ethiopian fossil reveals face for ancestor of famed ‘Lucy’
498,2,2019-08-28 17:08:34,USA Today,Doorbell camera firm Ring working with more than 400 police forces
499,10,2019-08-28 17:09:29,Reuters,"Kellyanne Conway Sings Taylor Swift's 'Calm Down,' Disses Her for 'Losing Handily' to Trump"
500,9,2019-08-28 17:10:35,Fox News,Midwest farmers' Trump loyalty tested by new corn-ethanol rules
501,5,2019-08-28 17:12:52,Fox News,Nigel Farage: Brexit followed by boosted UK prosperity could be the end of the EU
502,8,2019-08-28 17:13:44,Los Angeles Times,L.A. County deputy who allegedly faked being shot is ousted
503,8,2019-08-28 17:14:22,Fox News,"Omar hit with FEC complaint, accused of paying alleged paramour's travel expenses with campaign funds"
504,8,2019-08-28 17:14:22,Fox News,"Omar hit with FEC complaint, accused of paying alleged paramour's travel expenses with campaign funds"
505,3,2019-08-28 17:15:30,The Washington Post,Ex-Pentagon chief Mattis says bitter politics threaten US
506,4,2019-08-28 17:15:39,Reuters,Lebanese troops fire at Israeli drone in south Lebanon
507,5,2019-08-28 17:20:12,Reuters,"British PM to suspend parliament before Brexit, opposition denounces 'coup'"
508,7,2019-08-28 17:20:37,USA Today,"Hurricane Dorian strikes Puerto Rico still confronting recovery, Trump"
509,11,2019-08-28 17:21:04,Reuters,Italy's 5-Star tells president it has government deal with PD
510,4,2019-08-28 17:25:09,Reuters,U.S. will not release Middle East peace plan before Israeli election
511,2,2019-08-28 17:27:10,The Washington Post,El Paso shooting suspect says AK-style gun came from Romania
512,7,2019-08-28 17:27:51,HuffPost,"Puerto Rico Braces For Dorian, First Major Cyclone Since Hurricane Maria"
513,9,2019-08-28 17:30:22,The Washington Post,The Latest: Perdue says Trump to act on ethanol waivers
514,2,2019-08-28 17:31:12,The Washington Post,US agency: Hospital forced nurse to participate in abortion
515,9,2019-08-28 17:34:09,Yahoo! News,How California Can Help Save Brazil’s Burning Rainforests
516,3,2019-08-28 17:35:46,Fox News,Former Obama staffer: Biden's racism focus tips hand to potential South Carolina primary strategy
517,2,2019-08-28 17:38:29,Yahoo! News,"In watershed discovery, skull of ancient human ancestor unearthed"
518,0,2019-08-28 17:38:53,Politico,USCIS changes automatic citizenship for children of overseas service members
519,4,2019-08-28 17:41:10,The Washington Post,Official news agency says Lebanese army has fired at two Israeli drones that violated Lebanese airspace amid tensions
520,8,2019-08-28 17:42:59,Fox News,Georgia man charged as serial rapist was recruit for police department that arrested him
521,2,2019-08-28 17:46:14,Los Angeles Times,3.8-million-year-old fossil reveals face of Lucy's ancestors
522,5,2019-08-28 17:52:00,NBC News,The queen isn't meant to get involved in U.K. politics. Boris Johnson just dragged her in.
523,5,2019-08-28 17:53:06,Reuters,"Johnson to suspend parliament before Brexit, opposition denounces 'coup'"
524,4,2019-08-28 17:53:38,The Washington Post,The Latest: Lebanese army fires at 2 Israeli drones
525,10,2019-08-28 17:54:11,Yahoo! News,Fox News Stars Push Back as Trump Demands Loyalty: We Don’t ‘Work for You’
526,8,2019-08-28 17:55:57,Reuters,At least 26 killed in 'horrendous' arson attack on bar in Mexico
527,2,2019-08-28 17:56:54,Chicago Tribune,"FBI searches Detroit-area home of UAW president, apparently as part of corruption probe"
529,2,2019-08-28 18:00:28,The Guardian,Australia pressures Unesco over impact of climate change on Great Barrier Reef
530,3,2019-08-28 18:01:05,National Review,Kirsten Gillibrand Drops Out of Presidential Race
531,2,2019-08-28 18:02:34,Reuters,SpaceX's Mars rocket prototype rattles nearby residents in Texas flight test
532,2,2019-08-28 18:03:00,NBC News,FBI raids home of UAW president as bribery probe expands
534,5,2019-08-28 18:06:04,The Guardian,"Boris Johnson’s move to prorogue parliament ‘a constitutional outrage’, says Speaker"
535,4,2019-08-28 18:07:34,Reuters,Netanyahu says he expects U.S. peace plan 'very soon' after Israel's Sept. 17 election
536,2,2019-08-28 18:09:27,Breitbart,Facebook Clamps Down on Political Advertising Ahead of 2020 Election
538,10,2019-08-28 18:15:56,Breitbart,President Trump Demands Retraction from MSNBC for O’Donnell’s Deutsche Bank Claims
539,4,2019-08-28 18:16:36,Reuters,Lebanese army says it shot at two of three Israeli drones entering Lebanese airspace
540,2,2019-08-28 18:20:50,Yahoo! News,Teen activist sails across Atlantic to go to climate meeting
541,9,2019-08-28 18:21:11,Reuters,Trump likely to unveil biofuel plan in 'the next couple of weeks': Agriculture Secretary
542,9,2019-08-28 18:21:34,Reuters,U.S. agriculture secretary pledges Trump will announce way to boost biofuel demand
543,0,2019-08-28 18:25:55,National Review,Trump Administration Changes Citizenship Requirements for Children of Service Members and Government Employees Overseas
544,11,2019-08-28 18:25:56,Reuters,"Italian president summons Conte, expected to give new government mandate"
545,5,2019-08-28 18:26:30,BBC,Profile: Scottish Conservative Ruth Davidson
546,2,2019-08-28 18:29:21,Fox News,Teen climate crusader Greta Thunberg completes carbon-free voyage by yacht from Europe to New York City
547,8,2019-08-28 18:31:02,Breitbart,FEC Complaint Accuses Ilhan Omar of Breaking Law to Fund Affair
548,7,2019-08-28 18:32:09,Reuters,"Trump slams 'corrupt' Puerto Rico as Dorian becomes hurricane, heads for island"
549,7,2019-08-28 18:37:55,USA Today,What he said about Puerto Rico and Fox News
550,10,2019-08-28 18:39:00,NBC News,Kellyanne Conway sings Taylor Swift song in rebuke of Equality Act advocacy
551,8,2019-08-28 18:39:00,ABC News,Police searching for couple wanted on murder charges who escaped custody
552,1,2019-08-28 18:44:24,Breitbart,Elon Musk to Appear at AI Conference - in China
553,4,2019-08-28 18:47:51,Reuters,Lebanese army fires at Israeli drones near border
554,5,2019-08-28 18:49:40,Reuters,Conservatives' Scotland leader Davidson set to quit - media reports
555,11,2019-08-28 18:56:11,Reuters,"Italian opposition PD, 5-Star say they want to form coalition led by Conte"
556,2,2019-08-28 18:58:34,USA Today,FBI raids UAW president's home as corruption investigation continues
557,3,2019-08-28 18:58:48,Fox News,Trump mocks Kirsten Gillibrand as she exits 2020 race: 'She was the one I was really afraid of'
558,9,2019-08-28 19:01:49,Reuters,Amazon burning: Brazil reports highest forest fires since 2010
559,4,2019-08-28 19:01:50,Yahoo! News,Lebanese army fires at Israeli drones that entered airspace
560,10,2019-08-28 19:03:09,USA Today,Beto O'Rourke boots Breitbart News writer out of event at HBCU
561,0,2019-08-28 19:03:59,Reuters,Italy's Salvini bans latest migrant ship entering waters
562,10,2019-08-28 19:04:02,Yahoo! News,O'Rourke campaign blasts Breitbart after ejecting reporter
563,3,2019-08-28 19:05:30,Yahoo! News,Mattis sharply rebukes Trump's leadership in a not-so-subtle op-ed warning against abandoning America's allies
564,4,2019-08-28 19:06:00,The Washington Post,Dunford: Too early to discuss full pullout from Afghanistan
565,11,2019-08-28 19:06:32,CNN,Italy's Democratic Party and Five Star Movement agree to form new government
566,9,2019-08-28 19:07:21,Reuters,United States did not agree to G7 Amazon aid initiative: NSC
567,8,2019-08-28 19:08:03,Reuters,California sheriff's deputy who admitted sniper hoax is fired
568,4,2019-08-28 19:11:30,Reuters,U.S. will not release Middle East peace plan before Israeli election
569,8,2019-08-28 19:12:22,Fox News,Three Hamas policemen killed in rare attacks with Gaza in 'state of alert'
570,4,2019-08-28 19:13:23,Reuters,Lebanese army fires at Israeli drones near border
571,2,2019-08-28 19:22:37,Reuters,Growing federal corruption probe hits home for UAW president
572,4,2019-08-28 19:23:00,ABC News,"US, Taliban closing in on agreement as top US envoy heads to Afghanistan"
573,2,2019-08-28 19:23:58,National Review,Atheists Can Be Barred from Giving Invocations in Pennsylvania Statehouse
574,3,2019-08-28 19:25:24,Yahoo! News,"Video, reports of machines automatically changing votes in Mississippi GOP Governor runoff"
576,11,2019-08-28 19:28:30,Reuters,"Italian opposition PD, 5-Star say they want to form coalition led by Conte"
577,2,2019-08-28 19:29:00,NBC News,"Atheists can be barred from giving invocation at Pennsylvania statehouse, federal court rules"
578,8,2019-08-28 19:37:00,ABC News,"North Carolina student was planning mass shooting at university, police say"
580,14,2019-08-28 19:56:59,USA Today,College president calls Straight Pride Parade in Boston a 'perversion'
581,5,2019-08-28 19:58:02,Reuters,Legal campaigner Miller asks courts to block UK parliament suspension
582,2,2019-08-28 19:59:15,CBS News,"Facebook tightens restrictions on political ads, but there are loopholes"
583,4,2019-08-28 20:01:17,Reuters,Hezbollah says will hit back at Israel as Lebanon fires at Israeli drones
584,9,2019-08-28 20:01:40,The Washington Post,Farmers’ loyalty to Trump tested over new corn-ethanol rules
585,9,2019-08-28 20:02:14,Reuters,U.S. agriculture secretary says Trump will announce way to boost biofuel demand soon
586,2,2019-08-28 20:02:37,Fox News,"Doorbell-cam company Ring partners with 405 police agencies across US to share footage, fight crime"
587,9,2019-08-28 20:03:08,Reuters,Brazilians support Bolsonaro in Macron spat: minister
589,3,2019-08-28 20:05:02,The Washington Post,"Biden pledges ‘absolute wall’ between job, family business"
590,12,2019-08-28 20:05:48,Fox News,Nevada woman exonerated after serving 35 years for murder gets $3M award
591,8,2019-08-28 20:06:08,Yahoo! News,Gaza under alert after suicide bombings kill three police officers
592,2,2019-08-28 20:09:12,Reuters,"Federal corruption probe hits home for UAW boss, contract talks under 'storm cloud'"
593,3,2019-08-28 20:09:55,Yahoo! News,Here's Who Has Qualified for the September Democratic Presidential Primary Debate - And Who Hasn't
594,2,2019-08-28 20:10:50,Reuters,"In watershed discovery, skull of ancient human ancestor unearthed"
595,10,2019-08-28 20:12:23,The Washington Post,The Latest: Former Pence aide says he won’t seek Senate seat
596,0,2019-08-28 20:12:52,Fox News,Trump administration's update of policy on citizenship for certain children of government employees born overseas sparks confusion
597,8,2019-08-28 20:14:02,Yahoo! News,"A growing number of Americans doubt that Jeffrey Epstein died by suicide. Here's a guide to the conspiracy theories about his death, and why they're not backed by evidence."
598,2,2019-08-28 20:14:39,The Washington Post,The Latest: Teen climate activist overwhelmed by NY welcome
599,10,2019-08-28 20:16:51,The Washington Post,How Johnny Isakson’s retirement in Georgia could help Democrats win the Senate
601,2,2019-08-28 20:32:43,Fox News,"Palestinian Harvard freshman, 17, allegedly blocked from entering US over friends' social media posts"
603,10,2019-08-28 20:38:42,Yahoo! News,Trump Threatens Legal Action after Lawrence O’Donnell Accuses Him of Working with Russian Oligarchs
604,8,2019-08-28 20:39:14,The Washington Post,Prosecutor: Student with guns in dorm studied mass shootings
605,2,2019-08-28 20:39:20,The Washington Post,Judiciary panel probes Trump pitch to host G7 at golf course
606,12,2019-08-28 20:40:32,The Washington Post,Nevada woman wrongly imprisoned 35 years for murder gets $3M
607,2,2019-08-28 20:50:00,NBC News,Trump denies report he offered pardons to aides who break law to fast-track border wall
608,2,2019-08-28 20:53:45,The Washington Post,House panel to investigate Trump’s desire to hold G-7 at his Doral resort
609,11,2019-08-28 20:57:22,Los Angeles Times,Italian Prime Minister Giuseppe Conte expected to keep his job
610,4,2019-08-28 21:00:00,Los Angeles Times,Yemeni government forces push into key port city of Aden
611,7,2019-08-28 21:05:00,NBC News,"Though anxious, hurricane-hit Puerto Ricans face Dorian with 'relative calm'"
612,8,2019-08-28 21:10:20,Fox News,"North Carolina college student studied mass shootings, kept guns in dorm, prosecutors say"
613,5,2019-08-28 21:10:25,The Guardian,"Morning mail: UK parliament suspension outrage, Yang's PM plea, Labor boss stood aside"
614,9,2019-08-28 21:11:09,Reuters,Brazilians support Bolsonaro after Macron's 'offense': minister
615,3,2019-08-28 21:12:15,Chicago Tribune,11 of 13 Illinois Democrats in U.S. House now back impeachment proceedings against President Donald Trump as U.S. Rep. Bill Foster signs on
616,0,2019-08-28 21:17:11,Yahoo! News,Trump Admin Wants to Limit U.S. Citizenship for Kids Born Abroad
617,2,2019-08-28 21:18:00,NBC News,House panel to investigate Trump's plan to host G-7 summit at his Doral resort
618,9,2019-08-28 21:21:33,Los Angeles Times,Brazil accepts planes from Chile to fight Amazon fires
619,0,2019-08-28 21:22:00,NBC News,NYC police union votes 'no confidence' in Mayor Bill de Blasio
620,0,2019-08-28 21:22:22,NBC News,NYC police union votes 'no confidence' in Mayor Bill de Blasio
622,1,2019-08-28 21:26:50,Los Angeles Times,"Apple sorry for Siri privacy issue, quits keeping recordings"
623,3,2019-08-28 21:27:59,Los Angeles Times,"Joe Biden leads Democratic 2020 race, flurry of polls show"
624,10,2019-08-28 21:28:56,Fox News,Eric Trump: Trump Organization taking legal action over MSNBC host Lawrence O'Donnell's 'reckless attempt to slander family'
625,12,2019-08-28 21:29:12,CNN,Michigan man accused of putting fatal dose of heroin in his wife's cereal
626,4,2019-08-28 21:31:31,Yahoo! News,Taliban says peace deal with US to end Afghan war is close
627,2,2019-08-28 21:35:13,HuffPost,Democrats To Investigate Trump's Plan To Host Next G-7 Summit At His Miami Golf Course
628,0,2019-08-28 21:39:17,The Washington Post,"Police union wants mayor, commish out over Garner firing"
629,2,2019-08-28 21:40:26,Reuters,Swedish teen climate activist arrives in New York by boat for U.N. summit
630,3,2019-08-28 21:43:45,Reuters,U.S. Senator Gillibrand quits presidential race: media reports
631,3,2019-08-28 21:44:06,Yahoo! News,Kirsten Gillibrand exits presidential race
632,3,2019-08-28 21:44:31,The Washington Post,Sen. Gillibrand says she’s ending 2020 presidential bid
633,2,2019-08-28 21:48:30,Yahoo! News,FBI searches Detroit-area home of UAW president
634,8,2019-08-28 21:50:57,Yahoo! News,FBI studies two broken cameras outside cell where Epstein died: source
635,4,2019-08-28 21:53:38,Reuters,Yemen's Houthis attack Saudi Arabia's Abha airport: spokesman
636,8,2019-08-28 21:54:52,Yahoo! News,FBI studies two broken cameras outside cell where Epstein died - source
637,10,2019-08-28 21:55:42,The Washington Post,MSNBC host Lawrence O’Donnell retracts Trump-Russia story. Trump had threatened to sue him.
639,9,2019-08-28 22:00:36,Breitbart,G7’s $20M Aid Offer to Brazil Is ‘Chump Change’
640,10,2019-08-28 22:02:16,Breitbart,Breitbart Won't Be Banned from More Events
641,7,2019-08-28 22:09:22,Reuters,Trump slams 'corrupt' Puerto Rico as Hurricane Dorian menaces island
642,2,2019-08-28 22:11:27,Yahoo! News,Democrats to investigate Trump proposal to host G7 at resort he owns
643,2,2019-08-28 22:11:27,Reuters,Democrats to investigate Trump proposal to host G7 at resort he owns
644,9,2019-08-28 22:14:00,Reuters,Trump to announce plan to boost biofuel demand soon: U.S. agriculture secretary
645,3,2019-08-28 22:16:36,Breitbart,Fact Check: Joe Biden Did Not Come Out of the Civil Rights Movement
647,2,2019-08-28 22:25:19,The Washington Post,El Paso shooting suspect says AK-style gun came from Romania
648,3,2019-08-28 22:34:17,CBS News,"Mattis takes swipe at Trump in new book: ""I did as well as I could for as long as I could"""
649,8,2019-08-28 22:35:44,USA Today,Roy Moore tells Rep. Ilhan Omar to go back to 'whence she came'
650,4,2019-08-28 22:37:04,Reuters,Turkey's Erdogan says won't allow delays in Syria deal with U.S.
651,2,2019-08-28 22:38:10,CBS News,Federal agents raid Detroit-area home of UAW president Gary Jones
652,0,2019-08-28 22:39:15,CBS News,Some children of troops and government employees abroad won't automatically be U.S. citizens
654,8,2019-08-28 22:45:42,Reuters,FBI studies two broken cameras outside cell where Epstein died: source
655,3,2019-08-28 22:47:08,Slate,Gillibrand announces end of 2020 presidential campaign.
656,8,2019-08-28 22:50:54,Yahoo! News,Prosecutor: Student with guns in dorm studied mass shootings
657,3,2019-08-28 22:59:51,Reuters,U.S. Senator Gillibrand quits Democratic presidential race
658,2,2019-08-28 23:04:47,The Washington Post,"Dawda Jawara, Gambian founding father who led country for 24 years, dies at 95"
659,4,2019-08-28 23:06:00,Yahoo! News,UPDATE 2-Turkey's Erdogan says won't allow U.S. stalling in Syria deal
660,2,2019-08-28 23:07:59,Reuters,Factbox: South Korea's top court ruling on Samsung heir and ex-president
661,2,2019-08-28 23:08:23,Reuters,Samsung heir braces for top court ruling in ex-president bribery case
662,4,2019-08-28 23:09:10,Reuters,Turkey's Erdogan says won't allow U.S. stalling in Syria deal
663,9,2019-08-28 23:16:23,Reuters,"Brazil looks to neighbors for Amazon support, defends record"
664,10,2019-08-28 23:23:21,The Washington Post,O’Rourke campaign ejects Breitbart reporter from speech
665,2,2019-08-28 23:23:58,Yahoo! News,Federal Court Rules Atheists May Be Barred From Giving Invocations at Pennsylvania Statehouse
666,8,2019-08-28 23:26:24,Yahoo! News,Serial rape suspect arrested by Georgia police more than a year after they hired him
667,3,2019-08-28 23:35:14,Yahoo! News,Ex-Pentagon chief Mattis says bitter politics threaten US
668,3,2019-08-28 23:40:23,Yahoo! News,Stacey Abrams will not run for Senate seat in Georgia now that Republican Johnny Isakson to retire
669,3,2019-08-28 23:40:23,USA Today,Stacey Abrams will not run for Johnny Isakson's Senate seat in Georgia
670,0,2019-08-28 23:41:00,NBC News,Trump administration policy change on children's citizenship causes widespread confusion
671,4,2019-08-28 23:58:33,Reuters,Turkey's Erdogan says won't allow U.S. stalling in Syria deal
672,4,2019-08-28 23:59:28,The Guardian,At least three dead in West Papua as protest turns violent
673,5,2019-08-28 23:59:53,BBC,Newspaper headlines: Outrage as Johnson 'takes the gloves off'
675,0,2019-08-29 00:00:00,NPR,"What Do New Citizenship Rules For Kids Of U.S. Military, Workers Abroad Mean?"
676,10,2019-08-29 00:00:00,NPR,Alabama Gov. Kay Ivey Apologizes For Wearing Blackface During College Skit
678,14,2019-08-29 00:00:00,The New York Times,Chinese Military Sends New Troops Into Hong Kong
679,3,2019-08-29 00:00:00,NPR,10 Candidates Set For Next Democratic Debate
680,4,2019-08-29 00:00:00,The New York Times,Ally Attacks Ally in Yemen’s War Within a War
681,14,2019-08-29 00:00:00,NPR,Hong Kong Protest Leaders Arrested A Day Ahead Of Planned March
682,5,2019-08-29 00:00:00,NPR,"Like The Empire Itself, The British Pound Is Not What It Used To Be"
683,3,2019-08-29 00:00:00,The New York Times,"Fearing Hackers, D.N.C. Plans to Block Iowa’s ‘Virtual’ Caucuses"
684,6,2019-08-29 00:00:00,The New York Times,"Many Genes Influence Same-Sex Sexuality, Not a Single ‘Gay Gene’"
685,5,2019-08-29 00:00:00,The New York Times,Boris Johnson’s Parliament Suspension Prompts Growing Backlash
686,11,2019-08-29 00:00:00,The New York Times,How Giuseppe Conte of Italy Went From Irrelevant to Irreplaceable
687,3,2019-08-29 00:00:00,The Nation,Kirsten Gillibrand Leaves the 2020 Race With No Apologies
688,0,2019-08-29 00:00:00,The New York Times,Federal Workers’ Children Born Abroad May Not Receive Automatic Citizenship
690,4,2019-08-29 00:00:00,NPR,"Iranian Rocket Launch Ends In Failure, Imagery Shows"
691,15,2019-08-29 00:00:00,NPR,Justice Department Watchdog Says Comey Violated FBI Policies In Handling Trump Memos
692,10,2019-08-29 00:00:00,The New York Times,"Alabama’s Governor, Kay Ivey, Apologizes for Blackface Skit in College"
693,7,2019-08-29 00:00:00,NPR,"News Brief: Hurricane Dorian, Democratic Debate, Ireland And Brexit"
694,11,2019-08-29 00:00:00,NPR,Colombia's FARC Rebel Group Announces Plans To Re-Arm 3 Years After Peace Deal
695,15,2019-08-29 00:00:00,NPR,Justice Department Watchdog: Comey Violated Policy Related To Trump Memos
696,3,2019-08-29 00:00:00,NPR,10 Candidates Qualify For September's Democratic Debate
698,7,2019-08-29 00:00:00,The New York Times,Your Thursday Briefing
699,11,2019-08-29 00:00:00,NPR,"Former FARC Leaders Announce 'New Stage Of Fighting,' Upending Colombia's Peace Deal"
700,7,2019-08-29 00:00:00,The New York Times,"Unsure Where Hurricane Dorian Will Strike, All of Florida Gets Ready"
701,9,2019-08-29 00:00:00,NPR,Not All Oil Companies Support Trump Administration's Rollback Of Methane Emission Rule
702,14,2019-08-29 00:00:00,NPR,Hong Kong Democracy Demonstrators Arrested A Day Ahead Of Planned March
703,3,2019-08-29 00:00:00,The New York Times,Joe Biden Dismisses Report That He Told False War Story
704,3,2019-08-29 00:00:00,The New York Times,How Kirsten Gillibrand’s Presidential Dreams Unraveled
705,9,2019-08-29 00:00:00,The New York Times,6 Major Climate Change Rules the Trump Administration Is Reversing
706,4,2019-08-29 00:00:00,NPR,"Iranian Rocket Launch Ends In Failure, Imagery Shows"
707,9,2019-08-29 00:00:00,NPR,EPA Aims To Roll Back Limits On Methane Emissions From Oil And Gas Industry
708,15,2019-08-29 00:00:00,NPR,DOJ: Comey Violated Policy On His Trump Memos — But Won't Be Prosecuted
709,15,2019-08-29 00:00:00,NPR,DOJ: Comey Violated Policy On His Trump Memos — But Won't Be Prosecuted
711,5,2019-08-29 00:00:00,The New York Times,"Britain’s Queen Is a Figurehead, but She Just Got Dragged Into Brexit Politics"
712,5,2019-08-29 00:00:00,NPR,Brexiteers Continue To Defend Their Position As October Deadline Inches Closer
714,6,2019-08-29 00:00:00,NPR,Shots - Health News
715,3,2019-08-29 00:00:00,NPR,Stage Cut In Half By DNC : NPR
716,8,2019-08-29 00:00:00,The New York Times,Hamas Arrests 10 Suspects in Gaza Suicide Bombings
717,10,2019-08-29 00:00:00,Politico,Trump’s executive assistant resigns from White House
718,6,2019-08-29 00:00:00,The New York Times,Where New York Stands on Marijuana
719,2,2019-08-29 00:00:00,The New York Times,Samsung’s Leader at Risk of More Prison Time After Court Rules Against Him
721,2,2019-08-29 00:03:24,Breitbart,Trump Demands DHS Speed Up Construction of Border Wall
722,2,2019-08-29 00:07:19,The Washington Post,Questions after US turns away Palestinian Harvard freshman
723,8,2019-08-29 00:07:56,The Washington Post,26 killed in fiery attack on bar in southern Mexico
724,0,2019-08-29 00:09:42,USA Today,Military children born abroad won't get automatic citizenship: policy
725,2,2019-08-29 00:12:18,The Washington Post,Teen activist sails across Atlantic to go to climate meeting
726,10,2019-08-29 00:12:33,The Washington Post,Which U.S. Senate seats are up for election in 2020?
727,0,2019-08-29 00:13:56,Reuters,Trump administration tightens citizenship rules for children of U.S. military abroad
729,3,2019-08-29 00:21:46,Breitbart,She Was the One I Was Afraid Of
730,9,2019-08-29 00:27:07,HuffPost,Trump Administration Didn't Agree To G-7 Aid For Amazon Fires
731,4,2019-08-29 00:27:46,Reuters,Australia PM says will stand up for writer arrested in China
